name,website,emails
Coreresidential,https://www.coreresidential.com/contact/?utm_source=localmaps&utm_medium=gbp&utm_campaign=queens_park,[]
Thelondonbroker,http://www.thelondonbroker.com/,"[""david@davidadams.london""]"
Lgkproperties Co Uk,https://www.lgkproperties.co.uk/,[]
Coldwellbanker Co Uk/?Utm_Source=Localmaps&Utm_Medium=Gbp&Utm_Campaign=South_Bank,https://www.coldwellbanker.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=south_bank,[]
Davidadams London,http://davidadams.london/,[]
Estatedevelopers,https://www.estatedevelopers.com.pk/,"[""info@lreo.co.uk"",""u003einfo@lreo.co.uk""]"
Bensons London,http://www.bensons.london/,[]
Maskells,https://www.maskells.com/contact-us/estate-agent-in-kensington/?utm_source=google&utm_medium=organic&utm_campaign=gbp_kensington,"[""saleskcs@maskells.com"",""lettingskcs@maskells.com""]"
Sellmyhome Co Uk,http://www.sellmyhome.co.uk/,[]
Marshandparsons Co Uk/Contact Us/Branches/Marylebone Estate Agents,https://www.marshandparsons.co.uk/contact-us/branches/marylebone-estate-agents/,"[""act@marshandparsons.co.uk"",""ask@marshandparsons.co.uk"",""bal@marshandparsons.co.uk"",""bar@marshandparsons.co.uk"",""bat@marshandparsons.co.uk"",""bis@marshandparsons.co.uk"",""brx@marshandparsons.co.uk"",""bkg@marshandparsons.co.uk"",""cam@marshandparsons.co.uk"",""chs@marshandparsons.co.uk"",""cwk@marshandparsons.co.uk"",""clp@marshandparsons.co.uk"",""ect@marshandparsons.co.uk"",""esh@marshandparsons.co.uk"",""ful@marshandparsons.co.uk"",""hol@marshandparsons.co.uk"",""isl@marshandparsons.co.uk"",""knn@marshandparsons.co.uk"",""kns@marshandparsons.co.uk"",""lve@marshandparsons.co.uk"",""mar@marshandparsons.co.uk"",""nkn@marshandparsons.co.uk"",""not@marshandparsons.co.uk"",""pim@marshandparsons.co.uk"",""qpk@marshandparsons.co.uk"",""ric@marshandparsons.co.uk"",""sho@marshandparsons.co.uk"",""skn@marshandparsons.co.uk"",""str@marshandparsons.co.uk"",""too@marshandparsons.co.uk"",""tpk@marshandparsons.co.uk"",""wil@marshandparsons.co.uk"",""customercare@marshandparsons.co.uk"",""guzman-barquin-FkKClUPUURU-unsplash@2x.png"",""david-ramirez-9pyvot7HKjk-unsplash@2x.png"",""minh-pham-OtXADkUh3-I-unsplash@2x.png"",""brad-starkey-9QczXovmzCk-unsplash@2x.png"",""xl_191182_637317179402670000@2x.png"",""exterior-london-new-homes-pod@2x.png"",""rsz_2mp_kennington_office-18@2x.png"",""staff-london-training-and-development-property-pod@2x.png"",""rsz_bhiu8067@2x.png""]"
Grantjbates,https://grantjbates.com/,"[""hello@grantjbates.com""]"
Morganpryce Co Uk,http://www.morganpryce.co.uk/,"[""info@morganpryce.co.uk"",""matthew-white@birketts.co.uk"",""jimmy@nicheprojects.net""]"
London Executive,https://www.london-executive.com/,"[""newhomes@stone.london""]"
Stone London,https://stone.london/,[]
Dijrealestate,http://www.dijrealestate.com/,[]
Savills Co Uk/Estate Agents/Savills Mayfair Aspx?Utm_Source=Google&Utm_Medium=Local&Utm_Term=Mayfair,https://www.savills.co.uk/estate-agents/savills-mayfair.aspx?utm_source=Google&utm_medium=Local&utm_term=Mayfair,"[""user@domain.com"",""info@londonpropertypartnersuk.com"",""4@150x.png"",""Logo@150x.png""]"
Dexters Co Uk/Contact Us/Our Offices/Mayfair,https://www.dexters.co.uk/contact-us/our-offices/mayfair,[]
Residential Jll Co Uk/Offices/Estate Agent London City,https://residential.jll.co.uk/offices/estate-agent-london-city,[]
Andrewreeves Co Uk,https://www.andrewreeves.co.uk/,"[""contact@leonewman.co.uk"",""newbusiness@leonewman.co.uk""]"
Londonpropertypartnersuk,http://www.londonpropertypartnersuk.com/,"[""alex.cabral@exp.uk.com""]"
Agestateagents Co Uk,http://agestateagents.co.uk/,[]
Inkworth Co Uk/Estate Agents/West End,http://www.winkworth.co.uk/estate-agents/west-end,"[""me@example.com"",""westend@winkworth.co.uk""]"
Primelondonresidential,http://www.primelondonresidential.com/,"[""CROffice@PrimeLondonResidential.com"",""CWOffice@PrimeLondonResidential.com"",""Jessica@PrimeLondonResidential.com"",""Adena@PrimeLondonResidential.com"",""Tori@PrimeLondonResidential.com"",""Joseph@PrimeLondonResidential.com"",""Bryce@PrimeLondonResidential.com"",""Daniel@PrimeLondonResidential.com"",""Ellie@PrimeLondonResidential.com"",""Charlie@PrimeLondonResidential.com"",""Devon@PrimeLondonResidential.com"",""Tom@PrimeLondonResidential.com"",""Shannon@PrimeLondonResidential.com"",""Matthew@PrimeLondonResidential.com"",""Gytis@PrimeLondonResidential.com"",""Aline@PrimeLondonResidential.com"",""Francesca@PrimeLondonResidential.com"",""Aria@PrimeLondonResidential.com"",""Taline@PrimeLondonResidential.com"",""Freya@PrimeLondonResidential.com"",""Cristina@PrimeLondonResidential.com"",""Simran@PrimeLondonResidential.com"",""Elinor@PrimeLondonResidential.com"",""Olivia@PrimeLondonResidential.com"",""Kate@PrimeLondonResidential.com""]"
Core London,http://core.london/,[]
Quintessentiallyestates,https://www.quintessentiallyestates.com/,"[""info@quintessentiallyestates.com"",""info@quintessentiallyestates.comHome""]"
Obprivate Co Uk/Property,https://www.obprivate.co.uk/property/,"[""info@obprivate.co.uk"",""Daisy@obprivate.co.uk"",""Beatrix@obprivate.co.uk"",""Harvey@obprivate.co.uk"",""Mark@obprivate.co.uk"",""Tish@obprivate.co.uk"",""charlie@obprivate.co.uk"",""talya@obprivate.co.uk"",""tara@obprivate.co.uk"",""jade@obprivate.co.uk"",""Ari@obprivate.co.uk"",""Tringa@obprivate.co.uk"",""elizabeth@obprivate.co.uk"",""Charlie.cunningham-reid@obprivate.co.uk"",""Tracy@obprivate.co.uk"",""Nathanial@obprivate.co.uk"",""Harry@obprivate.co.uk"",""Will@obprivate.co.uk"",""kim@obprivate.co.uk"",""PROPERTYMANAGEMENT@OBPRIVATE.CO.UK"",""olivia@obprivate.co.uk""]"
Douglasandgordon,https://www.douglasandgordon.com/contact/Pimlico-Westminster/?utm_campaign=Pimlico&utm_content=Douglas+%26+Gordon+Estate+Agents+Pimlico+%26+Westminster&utm_medium=organic&utm_source=google_gmb,"[""pimlicosales@dng.co.uk"",""pimlicolets@dng.co.uk""]"
Astonslondon,https://www.astonslondon.com/,[]
Dexters Co Uk/Contact Us/Our Offices/Marylebone,https://www.dexters.co.uk/contact-us/our-offices/marylebone,"[""user@domain.com"",""info@amarant.co.uk""]"
Beauchampestates,https://www.beauchampestates.com/?utm_source=gmb&utm_medium=organic,"[""info@novarealty.uk""]"
Burlingtonestateagents Co Uk,https://burlingtonestateagents.co.uk/,"[""robin@homeflow.co.uk"",""residential.management@chestertons.co.uk"",""hea.portals@chestertons.co.uk"",""dpo@campionsgroup.co.uk"",""james.rowland@chestertons.co.uk"",""newhomes@chestertons.co.uk"",""rachael.lloyd@campionsgroup.co.uk"",""pro.portals@chestertons.co.uk"",""replies@chestertons.co.uk"",""mary.umali@chestertons.co.uk"",""fion.wang@chestertons.co.uk"",""emma.wilbourne@chestertons.co.uk"",""events@chestertons.co.uk"",""sara.scasseddu@chestertons.co.uk"",""chesweb@portalenquiries.sms-speedway.co.uk"",""Angie.Oliver@chestertons.co.uk"",""Rebecca.Jones@campionsgroup.co.uk"",""hello@chestertons.co.uk"",""anna.belova@chestertons.co.uk"",""valuemyproperty@chestertons.co.uk"",""liam.riordan@campionsgroup.co.uk"",""jordana.miles@chestertons.co.uk"",""yuliya.shegay@chestertons.co.uk"",""short.lets@chestertons.co.uk"",""corporateservices@chestertons.co.uk"",""landlordservices@chestertons.co.uk"",""gully.shrew977@eagereverest.com"",""anna.belova@campionsgroup.co.uk"",""kerl@chestertons.co.uk"",""belay.cirque5128@eagereverest.com"",""amber.zhao@chestertons.co.uk"",""ahmad.alazem@chestertons.co.uk"",""bal.portals@chestertons.co.uk"",""shf.portals@chestertons.co.uk"",""robot+chestertonscoventgarden@salesrook.com""]"
Estateagentnearme,https://www.estateagentnearme.com/,"[""bf@sothebysrealty.co.uk"",""rsw@sothebysrealty.co.uk"",""rss@sothebysrealty.co.uk"",""skr@sothebysrealty.co.uk"",""bh@sothebysrealty.co.uk"",""lg@sothebysrealty.co.uk"",""spe@sothebysrealty.co.uk"",""jw@sothebysrealty.co.uk"",""jr@sothebysrealty.co.uk"",""tk@sothebysrealty.co.uk"",""ssp@sothebysrealty.co.uk"",""dj@sothebysrealty.co.uk"",""hw@sothebysrealty.co.uk"",""mo@sothebysrealty.co.uk"",""abo@sothebysrealty.co.uk"",""jmo@sothebysrealty.co.uk"",""jg@sothebysrealty.co.uk"",""catharine.che@sothebysrealty.co.uk"",""mc@sothebysrealty.co.uk"",""se@sothebysrealty.co.uk"",""dz@sothebysrealty.co.uk"",""dd@sothebysrealty.co.uk"",""customercare@sothebysrealty.co.uk""]"
Amarant Co Uk,https://www.amarant.co.uk/,"[""luke@valmontgroup.co.uk""]"
Novarealty Uk,http://www.novarealty.uk/,"[""info@oliverjames-london.com""]"
Chestertons Co Uk/En Gb/Network/Central London/Covent Garden?Utm_Source=Google&Utm_Medium=Local,https://www.chestertons.co.uk/en-gb/network/central-london/covent-garden?utm_source=Google&utm_medium=Local,[]
Sothebysrealty Co Uk,https://www.sothebysrealty.co.uk/,"[""city@benhams.com"",""city.sales@benhams.com""]"
Valmontgroup Co Uk,https://valmontgroup.co.uk/,"[""richard.aves@exp.uk.com""]"
Maskells,https://www.maskells.com/contact-us/estate-agent-in-chelsea/?utm_source=google&utm_medium=organic&utm_campaign=gbp_chelsea,"[""waltonstreetsales@maskells.com"",""lettings@maskells.com""]"
Residentialrealtors Co Uk,http://www.residentialrealtors.co.uk/,[]
Etherell Co Uk,https://wetherell.co.uk/,[]
Residential Jll Co Uk/Offices/Estate Agent Mayfair,https://residential.jll.co.uk/offices/estate-agent-mayfair,"[""office@londonestates.net""]"
London Estates Net,https://www.london-estates.net/,"[""CROffice@PrimeLondonResidential.com"",""CWOffice@PrimeLondonResidential.com"",""Jessica@PrimeLondonResidential.com"",""Adena@PrimeLondonResidential.com"",""Tori@PrimeLondonResidential.com"",""Joseph@PrimeLondonResidential.com"",""Bryce@PrimeLondonResidential.com"",""Daniel@PrimeLondonResidential.com"",""Ellie@PrimeLondonResidential.com"",""Charlie@PrimeLondonResidential.com"",""Devon@PrimeLondonResidential.com"",""Tom@PrimeLondonResidential.com"",""Shannon@PrimeLondonResidential.com"",""Matthew@PrimeLondonResidential.com"",""Gytis@PrimeLondonResidential.com"",""Aline@PrimeLondonResidential.com"",""Francesca@PrimeLondonResidential.com"",""Aria@PrimeLondonResidential.com"",""Taline@PrimeLondonResidential.com"",""Freya@PrimeLondonResidential.com"",""Cristina@PrimeLondonResidential.com"",""Simran@PrimeLondonResidential.com"",""Elinor@PrimeLondonResidential.com"",""Olivia@PrimeLondonResidential.com"",""Kate@PrimeLondonResidential.com""]"
Primelondonresidential,https://www.primelondonresidential.com/,[]
Peachproperties,http://www.peachproperties.com/,[]
Frankharris Co Uk/Branches/Bloomsbury And Kings Cross,https://www.frankharris.co.uk/branches/bloomsbury-and-kings-cross,[]
Jbrown,http://www.jbrown.com/,"[""londonliving@llre.ca""]"
Londonlivingrealestate,http://londonlivingrealestate.com/,[]
Acorngroup Co Uk/Our Offices/Estate Agents In London Bridge?Utm_Source=Localmaps&Utm_Medium=Gbp&Utm_Campaign=Gmb_London_Bridge,https://www.acorngroup.co.uk/our-offices/estate-agents-in-london-bridge?utm_source=localmaps&utm_medium=gbp&utm_campaign=gmb_london_bridge,"[""info@century21uk.com"",""londoncentral@century21uk.com""]"
Century21Uk,http://www.century21uk.com/london-central,"[""CoventGarden@barnardmarcus.co.uk"",""coventgardenlet@barnardmarcus.co.uk""]"
Barnardmarcus Co Uk/Estate Agents/Covent Garden?Utm_Source=Google&Utm_Medium=Main+Url&Utm_Campaign=Google+Knowledge+Panel&Utm_Id=Yext&Y_Source=1_Njuyntuxntmtnze1Lwxvy2F0Aw9Ulndlynnpdgu%3D,https://www.barnardmarcus.co.uk/estate-agents/covent-garden?utm_source=Google&utm_medium=Main+URL&utm_campaign=Google+Knowledge+Panel&utm_id=YEXT&y_source=1_NjUyNTUxNTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[""hello@tavistockbow.com""]"
Uniquepropertycompany Co Uk,http://uniquepropertycompany.co.uk/,[]
Tavistockbo,https://tavistockbow.com/,"[""youremail@example.com""]"
Danielcobb Co Uk/Our Offices/Kennington Estate Agents?Utm_Source=Gmb&Utm_Medium=Organic&Utm_Campaign=Gmb,https://www.danielcobb.co.uk/our-offices/kennington-estate-agents?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,[]
Laurels Co Uk,https://laurels.co.uk/,"[""damien@jefferies.london"",""john@jefferies.london"",""siobhan@jefferies.london"",""alex@jefferies.london"",""richard@jefferies.london"",""marco@jefferies.london"",""lal@jefferies.london"",""daniele@jefferies.london"",""natasha@jefferies.london"",""ali@jefferies.london"",""xochitl@jefferies.london"",""joslin@jefferies.london"",""oscar@jefferies.london"",""adam@jefferies.london"",""james@jefferies.london"",""liana@jefferies.london"",""lamprini@jefferies.london"",""renee@jefferies.london"",""hello@jefferies.london""]"
Londonworldclass Co Uk,https://londonworldclass.co.uk/,"[""info@chbl.uk""]"
Chbl Uk,https://www.chbl.uk/,"[""ashley@forestrealestate.co.uk"",""casey@forestrealestate.co.uk"",""zach@forestrealestate.co.uk"",""ethan@forestrealestate.co.uk"",""info@forestrealestate.co.uk""]"
Forestrealestate Co Uk,http://www.forestrealestate.co.uk/,[]
Danielcobb Co Uk/Our Offices/London Bridge Estate Agents?Utm_Source=Gmb&Utm_Medium=Organic&Utm_Campaign=Gmb,https://www.danielcobb.co.uk/our-offices/london-bridge-estate-agents?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,[]
Kfh Co Uk/Branches/London Bridge/?Utm_Source=Google&Utm_Medium=Local&Utm_Campaign=Gmb&Utm_Term=London_Bridge,https://www.kfh.co.uk/branches/london-bridge/?utm_source=google&utm_medium=local&utm_campaign=gmb&utm_term=london_bridge,"[""James@scale-re.com"",""tom@scale-re.com"",""Jack@scale-re.com"",""hello@scale-re.com""]"
Scale Re,https://scale-re.com/,[]
Londonapart,http://londonapart.com/,"[""sales@kayandco.com"",""lettings@kayandco.com""]"
Kayandco,https://www.kayandco.com/branch/hyde-park/?utm_source=googlemaps&utm_medium=organic,[]
Circalondon,http://www.circalondon.com/,"[""cropped-Artboard@2x-32x32.png"",""cropped-Artboard@2x-192x192.png"",""cropped-Artboard@2x-180x180.png"",""cropped-Artboard@2x-270x270.png"",""Artboard@2x-copy-2.png"",""hello@storyofhome.co.uk""]"
Greaterlondonproperties Co Uk/?Utm_Source=Google&Utm_Medium=Referal&Utm_Campaign=Soho&Utm_Term=Soho&Utm_Content=Soho,https://www.greaterlondonproperties.co.uk/?utm_source=google&utm_medium=referal&utm_campaign=soho&utm_term=soho&utm_content=soho,"[""name@domain.com"",""hello@properly.space""]"
Storyofhome Co Uk,http://www.storyofhome.co.uk/,[]
Knightfrank Co Uk/Offices/Mayfair Estate Agents?Utm_Source=Gmb&Utm_Medium=Organic&Utm_Campaign=Yext_Office_Listing&Utm_Content=Mayfair_Estate_Agents_Listing&Y_Source=1_Mtewnju3Mzktnze1Lwxvy2F0Aw9Ulndlynnpdgu%3D,https://www.knightfrank.co.uk/offices/mayfair-estate-agents?utm_source=gmb&utm_medium=organic&utm_campaign=yext_office_listing&utm_content=mayfair_estate_agents_listing&y_source=1_MTEwNjU3MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,[]
Properly Space,https://properly.space/,[]
Hudsonsproperty,https://www.hudsonsproperty.com/?utm_source=Google%20My%20Business&utm_medium=Website,"[""logo-houzez-white@2x.png""]"
Guardsrealestate,http://www.guardsrealestate.com/,"[""hello@theprivaterealtor.com""]"
Greaterlondonproperties Co Uk/?Utm_Source=Google&Utm_Medium=Referal&Utm_Campaign=Bloomsbury&Utm_Term=Bloomsbury&Utm_Content=Bloomsbury,https://www.greaterlondonproperties.co.uk/?utm_source=google&utm_medium=referal&utm_campaign=bloomsbury&utm_term=bloomsbury&utm_content=bloomsbury,"[""info@tyronash.com""]"
Dexters Co Uk/Contact Us/Our Offices/London Bridge,https://www.dexters.co.uk/contact-us/our-offices/london-bridge,[]
Realestateagentslondon Co Uk,https://realestateagentslondon.co.uk/,"[""info@realestateagentslondon.co.uk""]"
Danielfeau,https://danielfeau.com/fr/detail-agence-immobiliere/3159,"[""notif.leads.immeubles@danielfeau.com""]"
Kacius Fr,http://kacius.fr/,"[""contact@kacius.fr""]"
Lokim,http://www.lokim.com/,[]
Orpi,https://www.orpi.com/mcd/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_paris%2011eme%20arrondissement&utm_content=mcd,[]
Parisrentalservices Fr,http://www.parisrentalservices.fr/,"[""fabiano@international-home.net""]"
Parisrealty Fr/Contact 3,https://www.parisrealty.fr/contact-3,"[""hello@hellocourtier.fr""]"
International Home Net,http://international-home.net/,[]
Hellocourtier Fr,https://hellocourtier.fr/,[]
Immocity,https://immocity.com/agence-immobiliere/paris-12/142,"[""panameimmo@gmail.com""]"
Ateliers Lofts,https://www.ateliers-lofts.com/,"[""ALG-logo@2x.png""]"
Letsgoimmobilier,http://www.letsgoimmobilier.com/,"[""contact@fyneo.fr"",""votre@email.com""]"
Fr Foncia,https://fr.foncia.com/agence-immobiliere/paris-75003/agence-immobiliere/foncia-transaction-paris-rambuteau-1129,"[""paris.rive.droite@espaces-atypiques.com"",""contact@espaces-atypiques.com"",""chloe.guillaume@espaces-atypiques.com"",""simon.jego@espaces-atypiques.com"",""magaly.leygnac@espaces-atypiques.com"",""sandra.mascio@espaces-atypiques.com"",""ornella.galland@espaces-atypiques.com"",""feriel.hafsi@espaces-atypiques.com"",""charlotte.fauconnier@espaces-atypiques.com"",""alka.balbir@espaces-atypiques.com""]"
Espaces Atypiques,https://www.espaces-atypiques.com/paris-rive-droite/,"[""contact@paris-apts.com""]"
Paris Apts,http://www.paris-apts.com/,"[""rueilmalmaison@junot.fr"",""junot78-92@junot.fr"",""rgpd@junot.fr""]"
